@relation juegosdelhambre

@attribute distrito numeric 
@attribute sexo {0,1}
@attribute edad numeric
@attribute voluntario {0,1} 
@attribute rating numeric
@attribute dias_sobrevividos numeric 
@attribute ganador {0,1}

@data
1,0,18,1,1,20,1
1,1,17,1,1,20,1
2,0,20,1,2,17,0
2,1,15,1,2,12,0
3,0,18,1,9,8,0
3,1,18,0,5,1,0
4,0,18,1,9,1,0
4,1,16,1,9,5,0
5,0,20,0,5,1,0
5,1,15,0,10,15,0
6,0,18,0,10,1,0
6,1,18,0,9,1,0
7,0,19,0,9,1,0
7,1,17,0,5,1,0
8,0,17,0,12,1,0
8,1,15,0,12,2,0
9,0,15,0,15,1,0
9,1,14,0,15,1,0
10,0,18,0,8,8,0
10,1,15,0,8,1,0
11,0,18,0,10,14,0
11,1,12,0,7,9,0
12,0,16,0,8,3,0
12,1,16,1,11,3,0
1,0,17,1,2,9,0
1,1,17,1,2,5,0
2,0,18,1,3,12,0
2,1,15,1,3,12,0
3,0,15,1,4,8,0
3,1,16,0,4,1,0
4,0,13,1,4,1,0
4,1,16,1,5,5,0
5,0,15,0,5,1,0
5,1,15,0,7,15,0
6,0,17,0,7,1,0
6,1,17,0,11,1,0
7,0,16,0,11,1,0
7,1,16,0,12,1,0
8,0,17,0,7,1,0
8,1,15,0,9,2,0
9,0,15,0,4,20,1
9,1,14,0,4,20,1
10,0,18,0,6,8,0
10,1,15,0,6,1,0
11,0,18,0,10,14,0
11,1,12,0,7,9,0
12,0,16,0,8,7,0
12,1,16,1,11,7,0
1,0,17,1,9,9,0
1,1,18,1,10,5,0
2,0,20,1,10,17,0
2,1,18,1,10,12,0
3,0,15,1,9,8,0
3,1,19,0,5,1,0
4,0,16,1,9,1,0
4,1,15,1,9,5,0
5,0,16,1,2,20,1
5,1,16,1,2,20,1
6,0,16,0,5,1,0
6,1,19,0,5,1,0
7,0,20,0,5,1,0
7,1,17,0,5,1,0
8,0,17,0,5,1,0
8,1,15,0,5,2,0
9,0,15,0,5,1,0
9,1,14,0,5,1,0
10,0,18,0,5,8,0
10,1,15,0,5,1,0
11,0,18,0,10,14,0
11,1,12,0,7,9,0
12,0,16,0,8,2,0
12,1,16,1,11,2,0
1,0,17,1,1,18,1
1,1,17,1,2,18,1
2,0,18,1,2,17,0
2,1,15,1,3,12,0
3,0,15,1,4,8,0
3,1,16,0,4,1,0
4,0,13,1,5,1,0
4,1,16,1,5,5,0
5,0,15,0,5,1,0
5,1,18,0,6,15,0
6,0,17,0,6,1,0
6,1,17,0,5,1,0
7,0,16,0,8,1,0
7,1,16,0,8,1,0
8,0,17,0,10,1,0
8,1,15,0,10,2,0
9,0,15,0,12,1,0
9,1,14,0,12,1,0
10,0,18,0,8,8,0
10,1,15,0,5,1,0
11,0,18,0,10,14,0
11,1,12,0,7,9,0
12,0,16,0,8,5,0
12,1,16,1,11,4,0
1,0,17,1,9,15,0
1,1,17,1,10,15,0
2,0,18,1,10,17,0
2,1,15,1,10,12,0
3,0,15,1,9,8,0
3,1,16,1,5,19,1
4,0,13,1,9,1,0
4,1,16,1,9,5,0
5,0,15,0,5,1,0
5,1,18,0,5,15,0
6,0,17,0,5,1,0
6,1,17,0,5,1,0
7,0,16,0,5,1,0
7,1,16,0,5,1,0
8,0,17,0,5,1,0
8,1,15,0,5,2,0
9,0,15,0,5,1,0
9,1,14,0,5,1,0
10,0,18,0,5,8,0
10,1,15,0,5,1,0
11,0,18,0,10,14,0
11,1,12,0,7,9,0
12,0,16,0,8,5,0
12,1,16,1,11,4,0
1,0,17,1,9,15,0
1,1,17,1,10,15,0
2,0,18,1,10,17,0
2,1,15,1,10,12,0
3,0,15,1,9,18,1
3,1,16,0,5,19,1
4,0,13,1,9,1,0
4,1,16,1,9,5,0
5,0,15,0,5,1,0
5,1,17,0,5,15,0
6,0,17,0,5,1,0
6,1,17,0,5,1,0
7,0,16,0,5,1,0
7,1,16,0,5,1,0
8,0,17,0,5,2,0
8,1,15,0,5,2,0
9,0,15,0,5,6,0
9,1,14,0,5,1,0
10,0,18,0,5,5,0
10,1,15,0,5,1,0
11,0,18,0,10,17,0
11,1,12,0,7,9,0
12,0,16,0,8,4,0
12,1,16,1,11,4,0
1,0,17,1,9,15,0
1,1,17,1,10,15,0
2,0,18,1,10,17,0
2,1,15,1,10,12,0
3,0,15,1,9,8,0
3,1,16,0,5,16,0
4,0,13,1,9,1,0
4,1,16,1,9,5,0
5,0,15,0,5,1,0
5,1,16,0,5,15,0
6,0,17,0,5,1,0
6,1,17,0,5,1,0
7,0,16,0,5,20,1
7,1,16,0,5,20,1
8,0,17,0,5,1,0
8,1,15,0,5,2,0
9,0,15,0,5,3,0
9,1,14,0,5,1,0
10,0,18,0,5,9,0
10,1,15,0,5,1,0
11,0,18,0,10,16,0
11,1,12,0,7,9,0
12,0,16,0,8,10,0
12,1,16,1,11,4,0
1,0,17,1,9,15,0
1,1,17,1,10,15,0
2,0,18,1,10,17,1
2,1,15,1,10,18,0
3,0,15,1,9,2,0
3,1,16,0,5,2,0
4,0,13,1,9,1,0
4,1,16,1,9,5,0
5,0,15,0,5,1,0
5,1,20,0,5,15,0
6,0,17,0,5,1,0
6,1,17,0,5,1,0
7,0,16,0,5,1,0
7,1,16,0,5,1,0
8,0,17,0,5,2,0
8,1,15,0,5,2,0
9,0,15,0,5,6,0
9,1,14,0,5,1,0
10,0,18,0,5,5,0
10,1,15,0,5,1,0
11,0,18,0,10,17,0
11,1,12,0,7,9,0
12,0,16,0,8,4,0
12,1,16,1,11,4,0
1,0,17,1,9,15,0
1,1,17,1,10,15,0
2,0,18,1,10,2,0
2,1,15,1,10,12,0
3,0,15,1,9,2,0
3,1,16,0,5,2,0
4,0,13,1,9,1,0
4,1,16,1,9,5,0
5,0,15,0,5,1,0
5,1,20,0,5,15,0
6,0,17,0,5,1,0
